,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
165,V114,0,0,0,0,0,0.0
166,V115,0,0,0,0,0,0.0
167,V116,0,0,0,0,0,0.0
168,V117,0,0,0,0,0,0.0
169,V118,0,0,0,0,0,0.0
170,V119,0,0,0,0,0,0.0
171,V120,0,0,0,0,0,0.0
172,V121,0,0,0,0,0,0.0
173,V122,0,0,0,0,0,0.0
174,V123,0,0,0,0,0,0.0
175,V124,0,0,0,0,12,2.4
176,V125,0,0,0,0,0,0.0
177,V126,0,3,28,6,9,9.2
178,V127,2,11,28,7,23,14.2
179,V128,2,6,16,6,14,8.8
180,V129,0,0,0,2,7,1.8
181,V130,2,58,19,2,3,16.8
182,V131,0,2,7,8,7,4.8
183,V132,0,0,2,17,18,7.4
184,V133,6,0,1,4,6,3.4
185,V134,0,0,1,7,8,3.2
186,V135,0,0,0,0,6,1.2
187,V136,0,0,0,0,20,4.0
188,V137,0,0,0,0,0,0.0
189,V138,0,0,0,0,0,0.0
190,V139,0,0,0,5,33,7.6
191,V140,0,1,1,1,9,2.4
192,V141,0,0,0,0,0,0.0
193,V142,0,0,0,0,0,0.0
194,V143,0,1,0,1,35,7.4
195,V144,1,1,0,3,8,2.6
196,V145,1,4,1,0,3,1.8
197,V146,0,0,0,1,0,0.2
198,V147,0,1,0,0,0,0.2
199,V148,0,0,0,0,11,2.2
200,V149,0,1,0,1,3,1.0
201,V150,0,2,1,1,9,2.6
202,V151,0,4,4,0,5,2.6
203,V152,0,2,2,0,4,1.6
204,V153,0,1,0,0,5,1.2
205,V154,0,0,1,0,2,0.6
206,V155,0,5,1,0,8,2.8
207,V156,0,1,1,0,5,1.4
208,V157,0,0,0,3,20,4.6
209,V158,0,0,0,3,2,1.0
210,V159,0,0,0,1,20,4.2
211,V160,0,3,6,1,48,11.6
212,V161,0,0,0,0,0,0.0
213,V162,0,0,0,0,0,0.0
214,V163,0,0,0,0,0,0.0
215,V164,0,2,3,1,13,3.8
216,V165,0,2,1,0,7,2.0
217,V166,1,2,9,2,35,9.8
218,V167,0,6,0,1,0,1.4
219,V168,1,9,0,0,1,2.2
220,V169,0,0,0,0,0,0.0
